x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0.468000001,4.398422394,0.468000001,4.398422394,0.468000001,4.457028334,0.468000001,4.598657601,0.468000001,5.41961459,
0.480000001,4.404748605,0.480000001,4.404748605,0.480000001,4.463325239,0.480000001,4.605167265,0.480000001,5.426634972,
0.492000001,4.410911955,0.492000001,4.410911955,0.492000001,4.469466523,0.492000001,4.611519417,0.492000001,5.433493057,
0.504000001,4.416918025,0.504000001,4.416918025,0.504000001,4.475457409,0.504000001,4.617719251,0.504000001,5.440193977,
0.516000001,4.42277207,0.516000001,4.42277207,0.516000001,4.481302839,0.516000001,4.623771682,0.516000001,5.44674259,
0.528000001,4.428479079,0.528000001,4.428479079,0.528000001,4.487007498,0.528000001,4.629681366,0.528000001,5.453143501,
0.540000001,4.434043776,0.540000001,4.434043776,0.540000001,4.492575822,0.540000001,4.635452718,0.540000001,5.459401075,
0.552000001,4.43947062,0.552000001,4.43947062,0.552000001,4.498012024,0.552000001,4.641089929,0.552000001,5.465519459,
0.564000001,4.453456432,0.564000001,4.453456432,0.564000001,4.503320095,0.564000001,4.646596976,0.564000001,5.47150259,
0.576000001,4.458518362,0.576000001,4.458518362,0.576000001,4.508503853,0.576000001,4.651977642,0.576000001,5.477354213,
0.588000001,4.463458144,0.588000001,4.463458144,0.588000001,4.513566905,0.588000001,4.657235523,0.588000001,5.483077891,
0.600000001,4.468279255,0.600000001,4.468279255,0.600000001,4.518512691,0.600000001,4.662374044,0.600000001,5.488677016,
0.612000001,4.472984994,0.612000001,4.472984994,0.612000001,4.523344488,0.612000001,4.667396466,0.612000001,5.49415482,
0.624000001,4.477578514,0.624000001,4.477578514,0.624000001,4.52806542,0.624000001,4.672305897,0.624000001,5.499514385,
0.636000001,4.482062807,0.636000001,4.482062807,0.636000001,4.532678466,0.636000001,4.677105303,0.636000001,5.504758651,
0.648000001,4.486440739,0.648000001,4.486440739,0.648000001,4.537186467,0.648000001,4.681797513,0.648000001,5.509890425,
0.660000001,4.490715038,0.660000001,4.490715038,0.660000001,4.541592138,0.660000001,4.686385229,0.660000001,5.514912388,
0.672000001,4.494888313,0.672000001,4.494888313,0.672000001,4.545898071,0.672000001,4.690871033,0.672000001,5.519827104,
0.684000001,4.498963056,0.684000001,4.498963056,0.684000001,4.550106747,0.684000001,4.695257394,0.684000001,5.524637022,
0.696000001,4.502941642,0.696000001,4.502941642,0.696000001,4.554220535,0.696000001,4.699546671,0.696000001,5.529344487,
0.708000001,4.506826355,0.708000001,4.506826355,0.708000001,4.558241704,0.708000001,4.703741125,0.708000001,5.533951744,
0.720000001,4.510619372,0.720000001,4.510619372,0.720000001,4.562172426,0.720000001,4.707842918,0.720000001,5.538460942,
0.732000001,4.514322778,0.732000001,4.514322778,0.732000001,4.566014782,0.732000001,4.711854123,0.732000001,5.542874141,
0.744000001,4.517938576,0.744000001,4.517938576,0.744000001,4.569770765,0.744000001,4.715776725,0.744000001,5.547193316,
0.756000001,4.528763746,0.756000001,4.528763746,0.756000001,4.573442279,0.756000001,4.719612629,0.756000001,5.55142036,
0.768000001,4.532152797,0.768000001,4.532152797,0.768000001,4.57703117,0.768000001,4.72336366,0.768000001,5.555557089,
0.780000001,4.535461532,0.780000001,4.535461532,0.780000001,4.580539192,0.780000001,4.727031571,0.780000001,5.559605248,
0.792000001,4.53869158,0.792000001,4.53869158,0.792000001,4.58396803,0.792000001,4.730618043,0.792000001,5.563566511,
0.804000001,4.541844498,0.804000001,4.541844498,0.804000001,4.587319307,0.804000001,4.734124691,0.804000001,5.567442484,
0.816000001,4.544921783,0.816000001,4.544921783,0.816000001,4.590594577,0.816000001,4.737553066,0.816000001,5.571234714,
0.828000001,4.547924873,0.828000001,4.547924873,0.828000001,4.593795338,0.828000001,4.740904659,0.828000001,5.574944684,
0.840000001,4.550855154,0.840000001,4.550855154,0.840000001,4.596923025,0.840000001,4.744180902,0.840000001,5.578573822,
0.852000001,4.553713946,0.852000001,4.553713946,0.852000001,4.59997902,0.852000001,4.747383173,0.852000001,5.5821235,
0.864000001,4.556502527,0.864000001,4.556502527,0.864000001,4.602964653,0.864000001,4.750512794,0.864000001,5.58559504,
0.876000001,4.559222123,0.876000001,4.559222123,0.876000001,4.6058812,0.876000001,4.753571041,0.876000001,5.588989711,
0.888000001,4.561873913,0.888000001,4.561873913,0.888000001,4.608729891,0.888000001,4.756559138,0.888000001,5.592308736,
0.900000001,4.564459032,0.900000001,4.564459032,0.900000001,4.611511908,0.900000001,4.759478266,0.900000001,5.595553291,
0.912000001,4.566978566,0.912000001,4.566978566,0.912000001,4.61422839,0.912000001,4.762329558,0.912000001,5.598724509,
0.924000001,4.569433562,0.924000001,4.569433562,0.924000001,4.616880433,0.924000001,4.765114109,0.924000001,5.601823482,
0.936000001,4.571825029,0.936000001,4.571825029,0.936000001,4.619469092,0.936000001,4.767832969,0.936000001,5.604851259,
0.948000001,4.58062007,0.948000001,4.58062007,0.948000001,4.621995376,0.948000001,4.770487152,0.948000001,5.607808853,
0.960000001,4.582853927,0.960000001,4.582853927,0.960000001,4.624460276,0.960000001,4.773077634,0.960000001,5.610697238,
0.972000001,4.585028113,0.972000001,4.585028113,0.972000001,4.626864727,0.972000001,4.775605354,0.972000001,5.613517354,
0.984000001,4.587143462,0.984000001,4.587143462,0.984000001,4.629209638,0.984000001,4.778071217,0.984000001,5.616270106,
0.996000001,4.589200779,0.996000001,4.589200779,0.996000001,4.631495881,0.996000001,4.780476096,0.996000001,5.618956365,
1.008000001,4.591200834,1.008000001,4.591200834,1.008000001,4.633724299,1.008000001,4.78282083,1.008000001,5.621576972,
1.020000001,4.593144376,1.020000001,4.593144376,1.020000001,4.635895703,1.020000001,4.785106228,1.020000001,5.624132735,
1.032000001,4.595032114,1.032000001,4.595032114,1.032000001,4.638010874,1.032000001,4.78733307,1.032000001,5.626624436,
1.044000001,4.596864742,1.044000001,4.596864742,1.044000001,4.640070564,1.044000001,4.789502107,1.044000001,5.629052825,
