X , H2, CH4, CO, CO2 
0.924000001,4308.49835862,7782.1383211,9496.18559414,11395.3596324
0.936000001,4326.65026391,7826.71085381,9553.32505687,11466.3052566
0.948000001,4344.52197846,7870.48417328,9609.40777117,11535.9117352
0.960000001,4362.11350118,7913.45822622,9664.43365899,11604.1788791
0.972000001,4379.42483101,7955.63296028,9718.40264377,11671.1065022
0.984000001,4396.4559669,7997.0083241,9771.31465039,11736.6944226
0.996000001,4413.20690782,8037.5842673,9823.16960523,11800.9424618
1.008000001,4429.67765276,8077.36074047,9873.96743613,11863.850445
1.020000001,4445.86820073,8116.33769516,9923.7080724,11925.4182009
1.032000001,4461.77855075,8154.5150839,9972.39144482,11985.6455621
1.044000001,4477.40870185,8191.8928602,10020.0174857,12044.5323646
1.056000001,4492.7586531,8228.47097856,10066.5861286,12102.0784482
1.068000001,4507.82840356,8264.24939441,10112.0973089,12158.2836563
1.080000001,4522.61795233,8299.22806418,10156.5509632,12213.147836
1.092000001,4537.12729851,8333.40694529,10199.9470296,12266.6708381
1.104000001,4551.35644123,8366.78599611,10242.2854477,12318.8525167
1.116000001,4565.30537962,8399.36517598,10283.5661587,12369.69273
1.128000001,4578.97411285,8431.14444524,10323.7891051,12419.1913397
1.140000001,4592.36264008,8462.12376518,10362.9542309,12467.3482109
1.152000001,4605.47096051,8492.30309807,10401.0614816,12514.1632128
1.164000001,4618.29907335,8521.68240716,10438.1108041,12559.6362178
1.176000001,4630.84697782,8550.26165668,10474.102147,12603.7671023
1.188000001,4643.11467316,8578.04081182,10509.0354602,12646.5557462
1.200000001,4655.10215864,8605.01983874,10542.9106949,12688.002033
1.212000001,4666.80943352,8631.1987046,10575.7278041,12728.10585
1.224000001,4678.23649711,8656.57737752,10607.4867422,12766.8670879
1.236000001,4689.3833487,8681.15582658,10638.1874649,12804.2856415
1.248000001,4700.24998764,8704.93402186,10667.8299295,12840.3614088
1.260000001,4710.83641325,8727.91193439,10696.4140947,12875.0942917
1.272000001,4721.14262491,8750.0895362,10723.9399208,12908.4841956
1.284000001,4731.16862198,8771.46680027,10750.4073695,12940.5310297
1.296000001,4740.91440387,8792.04370058,10775.8164039,12971.2347068
1.308000001,4750.37996999,8811.82021207,10800.1669887,13000.5951434
1.320000001,4759.56531975,8830.79631064,10823.45909,13028.6122595
1.332000001,4768.47045262,8848.9719732,10845.6926753,13055.285979
1.344000001,4777.09536804,8866.3471776,10866.8677138,13080.6162292
1.356000001,4785.4400655,8882.92190269,10886.984176,13104.6029412
1.368000001,4793.5045445,8898.69612828,10906.0420339,13127.2460497
1.380000001,4801.28880455,8913.66983517,10924.0412609,13148.5454931
1.392000001,4808.79284517,8927.84300511,10940.9818321,13168.5012136
1.404000001,4816.01666592,8941.21562085,10956.8637238,13187.1131567
1.416000001,4822.96026635,8953.7876661,10971.6869139,13204.3812718
1.428000001,4829.62364605,8965.55912555,10985.4513818,13220.3055119
1.440000001,4836.00680462,8976.52998487,10998.1571084,13234.8858338
1.452000001,4842.10974167,8986.70023069,11009.804076,13248.1221976
1.464000001,4847.93245683,8996.06985064,11020.3922683,13260.0145675
1.476000001,4853.47494975,9004.63883329,11029.9216707,13270.562911
1.488000001,4858.73722009,9012.40716822,11038.3922698,13279.7671995
1.500000001,4863.71926754,9019.37484596,11045.804054,13287.6274079
1.512000001,4868.4210918,9025.54185803,11052.1570128,13294.1435148
1.524000001,4872.84269258,9030.90819692,11057.4511374,13299.3155024
1.536000001,4876.98406961,9035.47385609,11061.6864205,13303.1433568
1.548000001,4880.84522265,9039.23882998,11064.8628562,13305.6270674
1.560000001,4884.42615146,9042.20311402,11066.98044,13306.7666276
1.572000001,4887.72685582,9044.36670458,11068.039169,13306.5620342
1.584000001,4890.74733554,9045.72959903,11068.0390418,13305.0132878
1.596000001,4893.48759043,9046.29179572,11066.9800583,13302.1203926
1.608000001,4895.94762034,9046.05329395,11064.86222,13297.8833565
1.620000001,4898.1274251,9045.01409403,11061.6855298,13292.3021909
1.632000001,4900.02700458,9043.17419721,11057.4499922,13285.3769112
1.644000001,4901.64635868,9040.53360574,11052.1556131,13277.1075361
1.656000001,4902.9854873,9037.09232282,11045.8023998,13267.4940881
1.668000001,4904.04439034,9032.85035266,11038.3903612,13256.5365934
1.680000001,4904.82306776,9027.80770042,11029.9195076,13244.2350818
1.692000001,4905.32151951,9021.96437224,11020.3898507,13230.5895869
1.704000001,4905.53974554,9015.32037523,11009.8014039,13215.6001456
1.716000001,4905.47774585,9007.87571748,10998.1541819,13199.2667988
1.728000001,4905.13552045,8999.63040807,10985.4482008,13181.589591
1.740000001,4904.51306935,8990.58445704,10971.6834784,13162.5685702
1.752000001,4903.61039259,8980.73787539,10956.8600338,13142.2037883
1.764000001,4902.42749023,8970.09067512,10940.9778877,13120.4953005
1.776000001,4900.96436233,8958.6428692,10924.0370621,13097.4431661
1.788000001,4899.221009,8946.39447157,10906.0375806,13073.0474477
1.800000001,4897.19743032,8933.34549715,10886.9794683,13047.3082117
1.812000001,4894.89362643,8919.49596182,10866.8627517,13020.2255281
1.824000001,4892.30959745,8904.84588245,10845.6874588,12991.7994707
1.836000001,4889.44534356,8889.39527689,10823.453619,12962.0301167
1.848000001,4886.30086492,8873.14416394,10800.1612633,12930.9175473
1.860000001,4882.87616172,8856.09256341,10775.8104241,12898.461847
1.872000001,4879.17123417,8838.24049605,10750.4011353,12864.6631042
1.884000001,4875.1860825,8819.5879836,10723.9334323,12829.5214109
1.896000001,4870.92070693,8800.13504879,10696.4073518,12793.0368626
1.908000001,4866.37510774,8779.8817153,10667.8229322,12755.2095586
1.920000001,4861.54928519,8758.82800779,10638.1802133,12716.0396019
1.932000001,4856.44323958,8736.97395191,10607.4792362,12675.5270991
1.944000001,4851.05697122,8714.31957427,10575.7200438,12633.6721604
1.956000001,4845.39048042,8690.86490245,10542.9026803,12590.4748997
1.968000001,4839.44376754,8666.60996503,10509.0271912,12545.9354346
1.980000001,4833.21683293,8641.55479154,10474.0936238,12500.0538862
1.992000001,4826.70967697,8615.69941249,10438.1020266,12452.8303793
2.004000001,4819.92230005,8589.04385936,10401.0524498,12404.2650426
2.016000001,4812.85470259,8561.58816463,10362.9449448,12354.3580081
2.028000001,4805.506885,8533.33236172,10323.7795648,12303.1094116
2.040000001,4797.87884773,8504.27648505,10283.5563642,12250.5193926
2.052000001,4789.97059125,8474.42057,10242.275399,12196.5880943
2.064000001,4781.78211603,8443.76465293,10199.9367266,12141.3156633
2.076000001,4773.31342256,8412.30877117,10156.540406,12084.70225
2.088000001,4764.56451137,8380.05296303,10112.0864976,12026.7480085
2.100000001,4755.53538296,8346.99726779,10066.5750631,11967.4530966
2.112000001,4746.2260379,8313.14172571,10020.006166,11906.8176755
2.124000001,4736.63647674,8278.48637801,9972.37987105,11844.8419103
2.136000001,4726.76670007,8243.03126691,9923.69624451,11781.5259695
2.148000001,4716.61670848,8206.77643557,9873.95535414,11716.8700255
2.160000001,4706.18650257,8169.72192815,9823.15726916,11650.8742543
2.172000001,4695.47608299,8131.86778977,9771.30206025,11583.5388354
2.184000001,4684.48545038,8093.21406654,9718.38979958,11514.8639519
2.196000001,4673.2146054,8053.76080553,9664.42056078,11444.8497909
2.208000001,4661.66354874,8013.50805478,9609.39441895,11373.4965428
2.220000001,4649.83228109,7972.45586331,9553.31145065,11300.8044018
2.232000001,4637.72080317,7930.60428112,9496.17173395,11226.7735657
2.244000001,4625.3291157,7887.95335917,9437.97534835,11151.4042359
2.256000001,4612.65721944,7844.50314941,9378.72237483,11074.6966175
2.268000001,4599.70511516,7800.25370475,9318.41289585,10996.6509193
2.280000001,4586.47280363,7755.20507907,9257.04699534,10917.2673536
2.292000001,4572.96028565,7709.35732724,9194.62475869,10836.5461364
2.304000001,4559.16756204,7662.71050509,9131.14627276,10754.4874874
2.316000001,4545.09463364,7615.26466943,9066.6116259,10671.0916299
2.328000001,4530.74150129,7567.01987804,9001.0209079,10586.3587907
2.340000001,4516.10816587,7517.97618967,8934.37421004,10500.2892006
2.352000001,4501.19462825,7468.13366405,8866.67162506,10412.8830936
2.364000001,4486.00088933,7417.49236187,8797.91324718,10324.1407076
2.376000001,4470.52695004,7366.05234481,8728.09917208,10234.0622842
2.388000001,4454.77281131,7313.81367551,8657.22949691,10142.6480683
2.400000001,4438.73847408,7260.77641759,8585.30432029,10049.8983088
2.412000001,4422.42393934,7206.94063563,8512.32374231,9955.81325808
2.424000001,4405.82920806,7152.30639521,8438.28786453,9860.39317208
2.436000001,4388.95428125,7096.87376284,8363.19678998,9763.63831049
2.448000001,4371.79915992,7040.64280605,8287.05062314,9665.5489366
2.460000001,4354.36384512,6983.61359331,8209.84946999,9566.1253173
2.472000001,4336.64833789,6925.78619406,8131.59343795,9465.36772314
2.484000001,4318.65263931,6867.16067874,8052.28263593,9363.2764283
2.496000001,4300.37675047,6807.73711873,7971.91717428,9259.85171058
2.508000001,4281.82067246,6747.51558641,7890.49716485,9155.09385141
2.520000001,4262.98440641,6686.4961551,7808.02272093,9049.00313585
2.532000001,4243.86795345,6624.67889913,7724.4939573,8941.57985258
2.544000001,4224.47131475,6562.06389378,7639.91099019,8832.82429391
2.556000001,4204.79449147,6498.65121529,7554.27393731,8722.73675578
2.568000001,4184.8374848,6434.44094089,7467.58291782,8611.31753775
2.580000001,4164.60029595,6369.43314877,7379.83805237,8498.56694301
2.592000001,4144.08292613,6303.62791811,7291.03946305,8384.48527836
2.604000001,4123.2853766,6237.02532905,7201.18727344,8269.07285423
2.616000001,4102.2076486,6169.62546268,7110.28160857,8152.32998467
2.628000001,4080.84974341,6101.4284011,7018.32259495,8034.25698736
2.640000001,4059.21166233,6032.43422735,6925.31036053,7914.85418357
2.652000001,4037.29340664,5962.64302546,6831.24503476,7794.12189823
2.664000001,4015.09497769,5892.05488041,6736.12674854,7672.06045986
2.676000001,3992.61637681,5820.66987817,6639.95563423,7548.6702006
2.688000001,3969.85760535,5748.48810568,6542.73182565,7423.95145621
2.700000001,3946.81866471,5675.50965083,6444.4554581,7297.90456606
2.712000001,3923.49955625,5601.7346025,6345.12666835,7170.52987315
2.724000001,3899.9002814,5527.16305054,6244.74559461,7041.82772407
2.736000001,3876.02084159,5451.79508576,6143.31237657,6911.79846904
2.748000001,3851.86123824,5375.63079994,6040.82715538,6780.44246187
2.760000001,3827.42147283,5298.67028584,5937.29007367,6647.76006002
2.772000001,3802.70154682,5220.91363718,5832.7012755,6513.75162451
2.784000001,3777.70146172,5142.36094865,5727.06090643,6378.41752001
2.796000001,3752.42121903,5063.01231592,5620.36911345,6241.75811477
2.808000001,3726.86082028,4982.86783561,5512.62604505,6103.77378065
2.820000001,3701.02026701,4901.92760533,5403.83185114,5964.46489314
2.832000001,3674.89956079,4820.19172364,5293.98668313,5823.8318313
2.844000001,3648.49870319,4737.66029009,5183.09069387,5681.87497781
2.856000001,3621.81769581,4654.33340519,5071.14403769,5538.59471896
2.868000001,3594.85654026,4570.21117041,4958.14687036,5393.99144463
2.880000001,3567.61523816,4485.29368819,4844.09934913,5248.06554829
2.892000001,3540.09379117,4399.58106194,4729.00163271,5100.81742703
2.904000001,3512.29220094,4313.07339606,4612.85388126,4952.24748153
2.916000001,3484.21046916,4225.77079589,4495.65625641,4802.35611607
2.928000001,3455.84859753,4137.67336774,4377.40892125,4651.14373851
2.940000001,3427.20658774,4048.78121891,4258.11204033,4498.61076032
2.952000001,3398.28444155,3959.09445765,4137.76577966,4344.75759657
2.964000001,3369.08216068,3868.61319317,4016.37030671,4189.58466589
2.976000001,3339.59974692,3777.33753567,3893.92579041,4033.09239055
2.988000001,3309.83720203,3685.26759631,3770.43240116,3875.28119637
3.000000001,3279.79452781,3592.4034872,3645.8903108,3716.15151277
3.012000001,3309.83720203,3685.26759631,3770.43240116,3875.28119637
3.024000001,3339.59974692,3777.33753567,3893.92579041,4033.09239055
3.036000001,3369.08216068,3868.61319317,4016.37030671,4189.58466589
3.048000001,3398.28444155,3959.09445765,4137.76577966,4344.75759657
3.060000001,3427.20658774,4048.78121891,4258.11204033,4498.61076032
3.072000001,3455.84859753,4137.67336774,4377.40892125,4651.14373851
3.084000001,3484.21046916,4225.77079589,4495.65625641,4802.35611607
3.096000001,3512.29220094,4313.07339606,4612.85388126,4952.24748153
3.108000001,3540.09379117,4399.58106194,4729.00163271,5100.81742703
3.120000001,3567.61523816,4485.29368819,4844.09934913,5248.06554829
3.132000001,3594.85654026,4570.21117041,4958.14687036,5393.99144463
3.144000001,3621.81769581,4654.33340519,5071.14403769,5538.59471896
3.156000001,3648.49870319,4737.66029009,5183.09069387,5681.87497781
