,,,Module Penning + VVS,,,,NEG,,,,Module,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + SVT,,,,NEG,,,,Double Module - Beam Stopper,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module Penning + VVS,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
,,%,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0
,,%,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0
,,%,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12
in_eta_i = [,,%,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964
,,%,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793,0.036121264,0.054181896,0.072242528,0.108363793
,,%,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378,0.25284885,0.288970114,0.288970114,0.325091378
,,%,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057,0.144485057
in_eta_p_i = [,,%,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0
,,%,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0
,,%,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0
