X , H2, CH4, CO, CO2 
8.264160001,11528367225.2,17854452564.9,40765298.6293,50970759.2726
8.325376001,12362757415.8,17789140309.0,40767121.6856,50972000.5369
8.386592001,13312801716.5,17723626220.7,40772852.3313,50975706.9354
8.447808001,14394396470.5,17657910241.8,40792442.6526,50988124.438
8.509024001,15625639072.3,17591992283.5,40862090.0429,51031966.073
8.570240001,17027130764.7,17525872222.0,41113580.5895,51189919.3713
8.631456001,18622321329.1,17459549892.8,42026864.2584,51763117.1513
8.692672001,20437901428.6,17393025080.9,45350033.3705,53848350.9914
8.753888001,22504249155.4,17326297500.7,57450249.6606,61440513.4072
8.815104001,24855938193.6,17259366736.2,101519155.12,89090535.058
8.876320001,26829863490.0,17183811353.0,177010208.75,136455736.625
8.937536001,27024327157.0,17082593249.5,184670505.75,141262080.0
8.998752001,25398743706.0,16955224121.0,120893170.0,101246272.5
9.059968001,22979405769.2,16814157685.1,62776749.6421,64782530.0714
9.121184001,20852916379.7,16672883803.0,46806636.8325,54762307.3016
9.182400001,18984144866.2,16531408849.1,42419365.6091,52009429.1196
9.243616001,17341825029.2,16389733651.6,41212300.3011,51251902.8268
9.304832001,15898479514.1,16247858960.5,40878520.0023,51042315.9511
9.366048001,14629960111.1,16105785472.3,40784650.8715,50983274.2953
9.427264001,13515043728.6,15963513841.2,40756784.6275,50965661.9505
9.488480001,12535077299.8,15821044685.4,40747158.9514,50959509.7593
9.549696001,11673665687.8,15678378591.7,40742646.2265,50956579.3059
9.610912001,10916397368.8,15535516119.6,40739629.3811,50954599.4992
9.672128001,10250603304.9,15392457804.8,40737103.9779,50952938.6655
9.733344001,9665144970.24,15249204162.0,40734784.2246,50951416.1961
9.794560001,9150227985.95,15105755687.5,40732582.8695,50949976.2133
9.855776001,8697238244.51,14962112861.6,40730468.2014,50948597.8183
9.916992001,8298597781.9,14818276150.7,40728424.7002,50947270.3929
9.978208001,7947637986.18,14674246008.7,40726442.1072,50945986.7257
10.039424001,7638488020.91,14530022879.0,40724512.3261,50944741.0552
10.100640001,7365976596.69,14385607195.8,40722628.4633,50943528.4517
10.161856001,7125545447.21,14240999384.8,40720784.5343,50942344.6347
10.223072001,6913173062.17,14096199865.1,40718975.2246,50941185.8008
10.284288001,6725307400.96,13951209049.5,40717195.7326,50940048.5241
10.345504001,6558806461.34,13806027345.6,40715441.3787,50938929.5013
10.406720001,6410885708.75,13660655156.2,40713706.4368,50937824.8094
10.467936001,6279071486.53,13515092880.8,40711980.0449,50936727.3148
10.529152001,6161159627.74,13369340915.0,40710231.6086,50935617.4711
10.590368001,6055178575.9,13223399651.9,40708357.5248,50934429.6835
10.651584001,5959356397.69,13077269482.4,40705987.5209,50932930.1127
10.712800001,5872091135.67,12930950795.3,40701779.2525,50930271.5617
10.774016001,5791924005.01,12784443978.0,40690849.0793,50923372.2923
10.835232001,5738445121.19,12679633745.5,40672080.839,50911528.3003
10.896448001,5712642409.87,12623638835.1,40666229.6452,50907835.8692
10.957664001,5689185668.04,12567550299.3,40663662.9879,50906216.2173
11.018880001,5667868926.41,12511368193.7,40662383.7222,50905409.1027
11.080096001,5648505024.27,12455092573.8,40661609.3954,50904920.7721
11.141312001,5630923964.58,12398723495.2,40661033.4024,50904557.7401
11.202528001,5614971419.91,12342261013.3,40660535.5551,50904244.1542
11.263744001,5600507375.99,12285705183.5,40660068.7034,50903950.2518
11.324960001,5587404901.21,12229056061.1,40659614.2312,50903664.268
11.386176001,5575549031.0,12172313701.3,40659164.9115,50903381.6431
11.447392001,5564835757.4,12115478159.5,40658717.7817,50903100.4955
11.508608001,5555171114.97,12058549491.0,40658271.6457,50902820.063
11.569824001,5546470354.91,12001527750.9,40657825.9903,50902540.0147
11.631040001,5538657200.25,11944412994.6,40657380.5748,50902260.1928
11.692256001,5531663175.39,11887205277.2,40656935.2707,50901980.511
11.753472001,5525427004.34,11829904654.2,40656490.0017,50901700.9168
11.814688001,5519894072.14,11772511180.7,40656044.6427,50901421.3205
11.875904001,5515015944.84,11715024912.2,40655599.2278,50901141.7482
11.937120001,5510749943.84,11657445904.0,40655153.6835,50900862.1467
11.998336001,5507058770.79,11599774211.4,40654707.9742,50900582.4908
12.059552001,5503910179.78,11542009889.9,40654262.07,50900302.7587
12.120768001,5501276693.9,11484152995.1,40653815.9461,50900022.9329
12.181984001,5499135363.78,11426203582.3,40653369.5835,50899742.9997
12.243200001,5497467565.91,11368161707.2,40652922.9711,50899462.9512
12.304416001,5496258838.89,11310027425.3,40652476.1113,50899182.7894
12.365632001,5495498756.39,11251800792.4,40652028.857,50898902.4065
12.426848001,5495180835.5,11193481864.0,40651581.3839,50898621.9315
12.488064001,5495302479.74,11135070696.1,40651133.6207,50898341.312
12.549280001,5495864956.24,11076567344.2,40650685.5692,50898060.5492
12.610496001,5496873406.89,11017971864.4,40650237.2356,50897779.6477
12.671712001,5498336893.53,10959284312.6,40649788.6308,50897498.6152
12.732928001,5500268477.57,10900504744.5,40649339.7731,50897217.4649
12.794144001,5502685334.81,10841633216.3,40648890.6923,50896936.2182
12.855360001,5505608906.4,10782669784.0,40648441.2922,50896654.8044
12.916576001,5509065087.27,10723614503.6,40647991.7523,50896373.3544
12.977792001,5513084453.71,10664467431.2,40647542.0427,50896091.846
13.039008001,5517702532.13,10605228623.1,40647092.198,50895810.3037
13.100224001,5522960111.27,10545898135.4,40646642.2579,50895528.7561
13.161440001,5528903600.72,10486476024.3,40646192.2686,50895247.2362
13.222656001,5535585438.76,10426962346.1,40645742.2846,50894965.7831
13.283872001,5543064553.32,10367357157.0,40645292.3737,50894684.4455
13.345088001,5551406879.78,10307660513.3,40644842.4992,50894403.1953
13.406304001,5560685940.58,10247872471.4,40644392.8623,50894122.179
13.467520001,5570983491.33,10187993087.4,40643943.4903,50893841.4152
13.528736001,5582390239.38,10128022417.8,40643494.4688,50893560.9653
13.589952001,5595006641.04,10067960518.7,40643045.8912,50893280.8963
13.651168001,5608943784.48,10007807446.4,40642597.8572,50893001.2804
13.712384001,5624324366.07,9947563257.29,40642150.4686,50892722.192
13.773600001,5641283768.77,9887228007.39,40641703.8157,50892443.6999
13.834816001,5659971251.96,9826801752.88,40641257.9418,50892165.846
13.896032001,5680551263.3,9766284549.84,40640812.7519,50891888.5892
13.957248001,5703204884.04,9705676454.25,40640367.0652,50891611.1411
14.018464001,5728131420.53,9644977521.99,40639919.7505,50891332.8748
14.079680001,5755550155.9,9584187808.84,40639465.5115,50891050.4278
14.140896001,5785702277.33,9523307370.43,40638991.237,50890755.5212
14.202112001,5818852995.82,9462336262.24,40638463.1239,50890426.7831
14.263328001,5855293877.13,9401274539.57,40637794.5157,50890009.3938
14.324544001,5895345404.27,9340122257.5,40636763.7979,50889363.1248
14.385760001,5939359794.27,9278879470.91,40634804.8033,50888129.6911
14.446976001,5987724093.76,9217546234.37,40630471.7668,50885394.1358
