x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0.636000001,4.508995277,0.636000001,4.857679165,0.636000001,4.935857164,0.636000001,5.233706647,0.636000001,5.75165827,
0.648000001,4.513468416,0.648000001,4.862660288,0.648000001,4.940920497,0.648000001,5.238995394,0.648000001,5.757120966,
0.660000001,4.517839642,0.660000001,4.867530987,0.660000001,4.945871824,0.660000001,5.244167482,0.660000001,5.762463125,
0.672000001,4.522111527,0.672000001,4.872293983,0.672000001,4.950713899,0.672000001,5.249225773,0.672000001,5.767687712,
0.684000001,4.5262866,0.684000001,4.876951874,0.684000001,4.95544935,0.684000001,5.254173001,0.684000001,5.772797557,
0.696000001,4.530367185,0.696000001,4.881507144,0.696000001,4.960080693,0.696000001,5.259011776,0.696000001,5.777795361,
0.708000001,4.534355587,0.708000001,4.88596217,0.708000001,4.96461033,0.708000001,5.263744593,0.708000001,5.782683708,
0.720000001,4.538253965,0.720000001,4.890319225,0.720000001,4.969040561,0.720000001,5.268373839,0.720000001,5.787465063,
0.732000001,4.542064409,0.732000001,4.894580485,0.732000001,4.973373586,0.732000001,5.272901798,0.732000001,5.792141789,
0.744000001,4.545788902,0.744000001,4.898748035,0.744000001,4.977611514,0.744000001,5.277330654,0.744000001,5.796716142,
0.756000001,4.549429372,0.756000001,4.902823873,0.756000001,4.981756364,0.756000001,5.281662501,0.756000001,5.801190286,
0.768000001,4.552987642,0.768000001,4.906809912,0.768000001,4.985810071,0.768000001,5.285899344,0.768000001,5.805566292,
0.780000001,4.556465465,0.780000001,4.910707988,0.780000001,4.989774492,0.780000001,5.290043106,0.780000001,5.809846143,
0.792000001,4.559864558,0.792000001,4.914519864,0.792000001,4.993651405,0.792000001,5.294095629,0.792000001,5.814031742,
0.804000001,4.563186524,0.804000001,4.91824723,0.804000001,4.997442521,0.804000001,5.298058683,0.804000001,5.818124914,
0.816000001,4.566432902,0.816000001,4.921891708,0.816000001,5.001149479,0.816000001,5.301933963,0.816000001,5.822127407,
0.828000001,4.569605227,0.828000001,4.925454856,0.828000001,5.004773852,0.828000001,5.305723098,0.828000001,5.826040902,
0.840000001,4.572704913,0.840000001,4.928938173,0.840000001,5.008317155,0.840000001,5.309427652,0.840000001,5.82986701,
0.852000001,4.575733349,0.852000001,4.932343097,0.852000001,5.01178084,0.852000001,5.313049129,0.852000001,5.83360728,
0.864000001,4.578691872,0.864000001,4.93567101,0.864000001,5.015166305,0.864000001,5.31658897,0.864000001,5.837263199,
0.876000001,4.581581747,0.876000001,4.938923243,0.876000001,5.018474891,0.876000001,5.320048563,0.876000001,5.840836194,
0.888000001,4.584404195,0.888000001,4.942101073,0.888000001,5.021707891,0.888000001,5.323429242,0.888000001,5.84432764,
0.900000001,4.587160429,0.900000001,4.945205732,0.900000001,5.024866546,0.900000001,5.32673229,0.900000001,5.847738857,
0.912000001,4.589851571,0.912000001,4.948238401,0.912000001,5.027952051,0.912000001,5.329958938,0.912000001,5.851071112,
0.924000001,4.592478725,0.924000001,4.95120022,0.924000001,5.030965556,0.924000001,5.333110374,0.924000001,5.854325628,
0.936000001,4.595042939,0.936000001,4.954092284,0.936000001,5.033908167,0.936000001,5.336187738,0.936000001,5.857503577,
0.948000001,4.597545221,0.948000001,4.956915649,0.948000001,5.036780948,0.948000001,5.33919213,0.948000001,5.86060609,
0.960000001,4.599986572,0.960000001,4.959671329,0.960000001,5.039584926,0.960000001,5.342124605,0.960000001,5.863634252,
0.972000001,4.602367924,0.972000001,4.962360302,0.972000001,5.042321085,0.972000001,5.34498618,0.972000001,5.866589109,
0.984000001,4.60469017,0.984000001,4.96498351,0.984000001,5.044990377,0.984000001,5.347777836,0.984000001,5.869471667,
0.996000001,4.606954211,0.996000001,4.967541859,0.996000001,5.047593717,0.996000001,5.350500514,0.996000001,5.872282896,
1.008000001,4.609160883,1.008000001,4.970036222,1.008000001,5.050131984,1.008000001,5.353155121,1.008000001,5.875023726,
1.020000001,4.61131097,1.020000001,4.97246744,1.020000001,5.052606027,1.020000001,5.355742531,1.020000001,5.877695054,
1.032000001,4.613405298,1.032000001,4.974836321,1.032000001,5.055016663,1.032000001,5.358263585,1.032000001,5.880297745,
1.044000001,4.615444589,1.044000001,4.977143646,1.044000001,5.057364679,1.044000001,5.360719092,1.044000001,5.882832628,
1.056000001,4.617429571,1.056000001,4.979390164,1.056000001,5.059650831,1.056000001,5.363109831,1.056000001,5.885300504,
1.068000001,4.619360957,1.068000001,4.981576599,1.068000001,5.061875848,1.068000001,5.365436552,1.068000001,5.887702142,
1.080000001,4.621239393,1.080000001,4.983703647,1.080000001,5.064040432,1.080000001,5.367699978,1.080000001,5.890038283,
1.092000001,4.623065566,1.092000001,4.985771976,1.092000001,5.066145258,1.092000001,5.369900801,1.092000001,5.892309638,
1.104000001,4.624840076,1.104000001,4.987782232,1.104000001,5.068190977,1.104000001,5.372039692,1.104000001,5.894516894,
