Dose,DOS C/mm2,DOSe/cm2,H2,CH4,H2O,CO,C2H6,CO2
0.0009803,9.80E-07,5.91E+14,0.20793,0.008747,0.084469,0.032456,0.0074516,0.049357
0.00099085,9.91E-07,5.97E+14,0.20462,0.0087615,0.085633,0.03196,0.0077715,0.046373
0.001001,1.00E-06,6.03E+14,0.20954,0.0084828,0.085697,0.032211,0.0063557,0.049109
0.0010782,1.08E-06,6.50E+14,0.13491,0.0062829,0.024438,0.016726,0.00584,0.034717
0.0011623,1.16E-06,7.00E+14,0.14312,0.007123,0.033027,0.019281,0.0059316,0.037425
0.0012533,1.25E-06,7.55E+14,0.14825,0.0071549,0.039271,0.021416,0.0063757,0.038162
0.001339,1.34E-06,8.07E+14,0.15139,0.0072414,0.043737,0.021896,0.0063134,0.038734
0.0014164,1.42E-06,8.53E+14,0.15299,0.0075116,0.047189,0.022843,0.0064298,0.039065
0.0014963,1.50E-06,9.01E+14,0.15421,0.0074961,0.048339,0.023237,0.0064151,0.038634
0.0015735,1.57E-06,9.48E+14,0.15515,0.0073475,0.051542,0.023977,0.0058407,0.03842
0.0016495,1.65E-06,9.94E+14,0.15699,0.0073223,0.052709,0.024369,0.0062038,0.038495
0.0017272,1.73E-06,1.04E+15,0.15663,0.0073186,0.054307,0.025387,0.0060037,0.038359
0.0018077,1.81E-06,1.09E+15,0.15636,0.0073582,0.056368,0.024935,0.0057249,0.037894
0.001896,1.90E-06,1.14E+15,0.15675,0.0072785,0.055955,0.02565,0.0060085,0.037443
0.0019787,1.98E-06,1.19E+15,0.15567,0.0073789,0.057888,0.024848,0.0059691,0.03766
0.002063,2.06E-06,1.24E+15,0.15504,0.0071527,0.058606,0.025432,0.0060229,0.036883
0.0021534,2.15E-06,1.30E+15,0.155,0.0071689,0.059345,0.025087,0.0057865,0.036585
0.0022411,2.24E-06,1.35E+15,0.15523,0.0071334,0.058368,0.025497,0.0059324,0.035805
0.0023367,2.34E-06,1.41E+15,0.15539,0.0070953,0.059864,0.025573,0.0056439,0.03533
0.0024353,2.44E-06,1.47E+15,0.15449,0.0069972,0.060451,0.025249,0.0055457,0.035553
0.002523,2.52E-06,1.52E+15,0.15447,0.0068855,0.061029,0.024996,0.0053978,0.035058
0.002613,2.61E-06,1.57E+15,0.15407,0.0068049,0.061374,0.025211,0.0054584,0.03446
